app,individual,combined
jstock,-20.7,-21.52
antlr,-8.8,-9.37
ant ,-30.01,-29.85
jedit,-14,-13.4
jhotdraw,-12.2,-12
jparse,-1.6,-1.47
javacc,-8.1,-8.34
pmd,-19.1,-19.72
emf,-27.13,-28.1
columba,-16.3,-16.92
xerces,-31.04,-31.68
ganttproject,-18.6,-19.5
log4j,-21.6,-21.92
jruby,-21.2,-20.89
jmeter,-22.7,-23.05
findbugs,-18.9,-20.66
xalan,-8.8,-9.4
aoi,-12.9,-11
galleon,-11.9,-11
batik,-4.4,-5
nekohtml,-3.1,-3.2
cobertura,-2.6,-2
emma,-4.5,-4.6
sablecc,-6.3,-6.1
openstack,-8.8,-9.3
sentry,-9.3,-9.12
tensorflow,-9.05,-9.21
rebound,-13.125,-13.015
tornado,-9.5,-9.1
kivy,-8.075,-7.55
falcon,-5.5,-5.3
