apps,individual,combined
jstock,-30.6,-31.85
antlr,-16.2,-17.65
ant ,-37.7,-38.62
jedit,-21.03,-21.85
jhotdraw,-20.6,-21.27
jparse,-7.6,-7.86
javacc,-15.96,-16.75
pmd,-20.96,-21.42
emf,-37.39,-38.87
columba,-1.46,-28.72
xerces,-41.55,-42.95
ganttproject,-14,-37.57
log4j,-4.42,-24.99
jruby,-5.9,-29.64
jmeter,-28.77,-29.38
findbugs,-1.75,-24.98
xalan,-17.32,-15.03
aoi,-27.44,-27
galleon,-10.9,-9.1
batik,-8.44,-6.9
nekohtml,-30.13,-31.4
cobertura,-33.33,-33.8
emma,-20.98,-18.2
sablecc,-22.64,-18.4
openstack,-8.8,-9.3
sentry,-9.3,-9.12
tensorflow,-9.05,-9.21
rebound,-14.3525,-19.0275
tornado,-16.025,-14.5075
kivy,-19.2275,-18.6
falcon,-20.7,-20.3
