#Tool,CPU,Memory,ID
jedit,-0.11,-0.21,4
jhotdraw,-0.15,-0.24,5
aoi,-0.12,-0.23,18
galleon,-0.14,-0.236,19
batik,-0.13,-0.25,20
antlr,-0.137,-0.251,2
jruby,-0.17,-0.227,14
,,,
ant ,-0.2,-0.21,3
xerces,-0.26,-0.22,11
xalan,-0.3,-0.23,17
,,,
ganttproject,-0.1,-0.2,12
jparse,-0.12,-0.24,6
javacc,-0.13,-0.22,7
nekohtml,-0.118,-0.23,21
sablecc,-0.15,-0.21,24
log4j,-0.13,-0.23,13
,,,
jmeter,-0.15,-0.22,15
findbugs,-0.18,-0.24,16
cobertura,-0.16,-0.23,22
emma,-0.17,-0.248,23
pmd,-0.133,-0.237,8
jstock,-0.165,-0.228,1
,,,
,,,
emf,-0.3,-0.172,9
columba,-0.32,-0.19,10
,,,
openstack,-0.2,-0.1,25
sentry,-0.4,-0.13,26
tensorflowmodel,0.33,-0.17,27
rebound,-0.37,-0.12,28
tornado,-0.27,-0.27,29
kivy,-0.28,-0.28,30
falcon,-0.38,-0.22,31
