#Tool,CPU,Memory,ID
jedit,-0.05,-0.25,4
jhotdraw,-0.06,-0.24,5
aoi,-0.065,-0.23,18
galleon,-0.072,-0.29,19
batik,-0.09,-0.25,20
antlr,-0.09,-0.26,2
jruby,-0.1,-0.28,14
,,,
ant ,-0.05,-0.42,3
xerces,-0.07,-0.39,11
xalan,-0.06,-0.45,17
,,,
ganttproject,-0.03,-0.01,12
jparse,-0.02,-0.016,6
javacc,-0.03,-0.012,7
nekohtml,-0.04,-0.017,21
sablecc,-0.07,-0.013,24
log4j,-0.04,-0.015,13
,,,
jmeter,-0.07,-0.15,15
findbugs,-0.06,-0.19,16
cobertura,-0.08,-0.17,22
emma,-0.1,-0.175,23
pmd,-0.07,-0.16,8
jstock,-0.09,-0.155,1
,,,
,,,
emf,-0.14,-0.172,9
columba,-0.15,-0.18,10
,,,
openstack,-0.04,-0.33,25
sentry,-0.08,-0.21,26
tensorflowmodel,-0.11,-0.38,27
rebound,-0.15,-0.12,28
tornado,-0.06,-0.03,29
kivy,-0.07,-0.23,30
falcon,-0.13,-0.16,31
