#Tool,CPU,Memory,ID
jedit,-0.07,-0.13,4
jhotdraw,-0.06,-0.14,5
aoi,-0.071,-0.12,18
galleon,-0.08,-0.13,19
batik,-0.055,-0.123,20
antlr,-0.049,-0.145,2
jruby,-0.079,-0.135,14
,,,
ant ,-0.11,-0.03,3
xerces,-0.12,-0.038,11
xalan,-0.13,-0.04,17
,,,
ganttproject,-0.04,-0.14,12
jparse,-0.041,-0.145,6
javacc,-0.03,-0.138,7
nekohtml,-0.03,-0.148,21
sablecc,-0.02,-0.139,24
log4j,-0.038,-0.141,13
,,,
jmeter,-0.07,-0.11,15
findbugs,-0.1,-0.12,16
cobertura,-0.093,-0.13,22
emma,-0.078,-0.13,23
pmd,-0.088,-0.11,8
jstock,-0.09,-0.1,1
,,,
,,,
emf,-0.08,-0.12,9
columba,-0.09,-0.11,10
,,,
openstack,-0.08,-0.33,25
sentry,-0.13,-0.21,26
tensorflowmodel,-0.12,-0.38,27
rebound,-0.16,-0.12,28
tornado,-0.13,-0.03,29
kivy,-0.1,-0.23,30
falcon,-0.12,-0.11,31
