#Tool,CPU,Memory,ID
jedit,-0.02,-0.06,4
jhotdraw,-0.04,-0.056,5
aoi,-0.034,-0.07,18
galleon,-0.025,-0.78,19
batik,-0.021,-0.071,20
antlr,-0.26,-0.067,2
jruby,-0.28,-0.081,14
,,,
ant ,-0.073,-0.08,3
xerces,-0.08,-0.09,11
xalan,-0.09,-0.11,17
,,,
ganttproject,-0.03,-0.13,12
jparse,-0.02,-0.15,6
javacc,-0.03,-0.16,7
nekohtml,-0.04,-0.18,21
sablecc,-0.07,-0.17,24
log4j,-0.04,-0.16,13
,,,
jmeter,-0.15,-0.15,15
findbugs,-0.17,-0.16,16
cobertura,-0.174,-0.19,22
emma,-0.18,-0.189,23
pmd,-0.157,-0.181,8
jstock,-0.164,-0.178,1
,,,
aoi,-0.01,-0.088,18
galleon,-0.02,-0.08,19
batik,-0.03,-0.07,20
,,,
emf,-0.04,-0.03,9
columba,-0.048,-0.02,10
,,,
openstack,-0.11,-0.3,25
sentry,-0.13,-0.21,26
tensorflowmodel,-0.16,-0.28,27
rebound,-0.13,-0.24,28
tornado,-0.14,-0.23,29
kivy,-0.18,-0.23,30
falcon,-0.19,-0.21,31
