#Tool,CPU,Memory,ID
jedit,-0.36,0.26,4
jhotdraw,-0.4,0.25,5
aoi,-0.33,0.28,18
galleon,-0.36,0.29,19
batik,-0.1,0.3,20
antlr,-0.25,0.25,2
jruby,-0.28,0.31,14
,,,
ant ,-0.15,0.36,3
xerces,-0.17,0.34,11
xalan,-0.16,0.31,17
,,,
ganttproject,-0.06,0.38,12
jparse,-0.14,0.15,6
javacc,-0.12,0.17,7
nekohtml,-0.11,0.18,21
sablecc,-0.11,0.19,24
log4j,-0.04,0.32,13
,,,
jmeter,-0.16,0.27,15
findbugs,-0.18,0.25,16
cobertura,-0.16,0.27,22
emma,-0.15,0.27,23
pmd,-0.14,0.26,8
jstock,-0.13,0.24,1
,,,
,,,
emf,-0.27,0.18,9
columba,-0.28,0.2,10
,,,
openstack,-0.24,0.31,25
sentry,-0.06,0.3,26
tensorflowmodel,-0.28,0.28,27
rebound,-0.02,0.27,28
tornado,-0.25,0.29,29
kivy,-0.25,0.22,30
falcon,-0.25,0.3,31
