#Tool,CPU,Memory,ID
jedit,-0.025,0.05,4
jhotdraw,-0.045,0.04,5
aoi,-0.048,0.06,18
galleon,-0.033,0.05,19
batik,-0.038,0.055,20
antlr,-0.03,0.065,2
jruby,-0.037,0.045,14
,,,
ant ,-0.01,0.04,3
xerces,-0.015,0.05,11
xalan,-0.02,0.03,17
,,,
ganttproject,-0.06,0.08,12
jparse,-0.07,0.084,6
javacc,-0.08,0.079,7
nekohtml,-0.05,0.071,21
sablecc,-0.045,0.095,24
log4j,-0.051,0.089,13
,,,
jmeter,-0.02,0.04,15
findbugs,-0.015,0.05,16
cobertura,-0.012,0.035,22
emma,-0.014,0.045,23
pmd,-0.015,0.048,8
jstock,-0.017,0.05,1
,,,
,,,
emf,-0.03,0.04,9
columba,-0.04,0.044,10
,,,
openstack,-0.12,0.05,25
sentry,-0.13,0.1,26
tensorflowmodel,-0.15,0.12,27
rebound,-0.14,0.14,28
tornado,-0.122,0.12,29
kivy,-0.143,0.17,30
falcon,-0.133,0.18,31
