apps,individual,combined
jstock,-27.56,-26.57
antlr,-20.16,-20.93
ant ,-43,-42.34
jedit,-34.2,-33.39
jhotdraw,-30.11,-29.89
jparse,-11.66,-9.99
javacc,-23.62,-23.25
pmd,-30.96,-29.51
emf,-16.47,-15.08
columba,-23,-23.61
xerces,-41.86,-41
ganttproject,-18.72,-17.04
log4j,-18.23,-18.83
jruby,-12.78,-12.91
jmeter,-47.77,-47.4
findbugs,-26.09,-20.4
xalan,-21.33,-19.3
aoi,-8.71,-9.9
galleon,-6.44,-7.81
batik,-21.2,-19.3
nekohtml,-16.4,-13.9
cobertura,-9.7,-9
emma,-8.8,-7.1
sablecc,-18.3,-17
openstack,-4.1,-4.7
sentry,-1.3,-1.67
tensorflow,-2.7,-3.185
rebound,-15.6425,-14.3525
tornado,-14.42,-14.0775
kivy,-13.1875,-12.7275
falcon,-13.435,-12.5025
