apps,individual,combined
jstock,39.56,40.7468
antlr,32.16,29.9088
ant ,55,51.15
jedit,46.2,42.966
jhotdraw,42.11,39.1623
jparse,23.66,22.0038
javacc,35.62,26.0026
pmd,42.96,31.3608
emf,28.47,20.7831
columba,35,25.55
xerces,43.86,45.4758
ganttproject,30.72,28.5696
log4j,30.23,28.1139
jruby,24.78,23.0454
jmeter,43.77,49.5631
findbugs,38.09,35.4237
xalan,33.33,30.9969
aoi,20.71,19.2603
galleon,18.44,22.128
batik,33.2,30.876
nekohtml,28.4,26.412
cobertura,21.7,20.181
emma,20.8,24.96
sablecc,30.3,28.179
openstack,16.1,14.973
sentry,13.3,12.369
tensorflow,14.7,13.671
rebound,27.6425,25.707525
tornado,26.42,31.704
kivy,25.1875,23.424375
falcon,25.435,23.65455
