#Tool,CPU,Memory,ID
jedit,-0.068,-0.1,4
jhotdraw,-0.085,-0.12,5
aoi,-0.09,-0.22,18
galleon,-0.069,-0.27,19
batik,-0.075,-0.26,20
antlr,-0.071,-0.29,2
jruby,-0.073,-0.19,14
,,,
ant ,-0.07,-0.13,3
xerces,-0.08,-0.15,11
xalan,-0.09,-0.12,17
,,,
ganttproject,-0.03,-0.18,12
jparse,-0.026,-0.2,6
javacc,-0.04,-0.16,7
nekohtml,-0.05,-0.21,21
sablecc,-0.046,-0.17,24
log4j,-0.051,-0.19,13
,,,
jmeter,-0.07,-0.18,15
findbugs,-0.08,-0.17,16
cobertura,-0.08,-0.15,22
emma,-0.073,-0.19,23
pmd,-0.067,-0.18,8
jstock,-0.08,-0.183,1
,,,
,,,
emf,-0.05,-0.03,9
columba,-0.06,-0.04,10
,,,
openstack,-0.11,-0.12,25
sentry,-0.13,-0.19,26
tensorflowmodel,-0.12,-0.22,27
rebound,-0.15,-0.25,28
tornado,-0.17,-0.26,29
kivy,-0.19,-0.19,30
falcon,-0.13,-0.27,31
