#Tool,CPU,Memory,ID
jedit,-0.048,-0.083,4
jhotdraw,-0.065,-0.074,5
aoi,-0.07,-0.072,18
galleon,-0.049,-0.059,19
batik,-0.055,-0.064,20
antlr,-0.051,-0.08,2
jruby,-0.053,-0.05,14
,,,
ant ,-0.025,-0.083,3
xerces,-0.028,-0.081,11
xalan,-0.03,-0.077,17
,,,
ganttproject,-0.06,-0.08,12
jparse,-0.065,-0.09,6
javacc,-0.071,-0.07,7
nekohtml,-0.063,-0.067,21
sablecc,-0.073,-0.09,24
log4j,-0.077,-0.094,13
,,,
jmeter,-0.013,-0.015,15
findbugs,-0.016,-0.016,16
cobertura,-0.012,-0.19,22
emma,-0.014,-0.17,23
pmd,-0.0133,-0.014,8
jstock,-0.015,-0.016,1
,,,
,,,
emf,-0.02,-0.019,9
columba,-0.025,-0.03,10
,,,
openstack,-0.15,-0.17,25
sentry,-0.17,-0.19,26
tensorflowmodel,-0.16,-0.24,27
rebound,-0.17,-0.13,28
tornado,-0.15,-0.18,29
kivy,-0.18,-0.19,30
falcon,-0.13,-0.183,31
