#Tool,CPU,Memory,ID
jedit,-0.1,-0.08,4
jhotdraw,-0.09,-0.077,5
aoi,-0.05,-0.072,18
galleon,-0.06,-0.062,19
batik,-0.07,-0.052,20
antlr,-0.08,-0.055,2
jruby,-0.09,-0.05,14
,,,
ant ,-0.01,-0.07,3
xerces,-0.015,-0.06,11
xalan,-0.016,-0.05,17
,,,
ganttproject,-0.1,-0.15,12
jparse,-0.06,-0.17,6
javacc,-0.07,-0.18,7
nekohtml,-0.09,-0.173,21
sablecc,-0.08,-0.179,24
log4j,-0.084,-0.176,13
,,,
jmeter,-0.12,-0.15,15
findbugs,-0.14,-0.18,16
cobertura,-0.13,-0.19,22
emma,-0.127,-0.17,23
pmd,-0.133,-0.156,8
jstock,-0.138,-0.159,1
,,,
,,,
emf,-0.06,-0.07,9
columba,-0.073,-0.06,10
,,,
openstack,-0.23,-0.33,25
sentry,-0.27,-0.19,26
tensorflowmodel,-0.27,-0.24,27
rebound,-0.17,-0.16,28
tornado,-0.19,-0.29,29
kivy,-0.17,-0.17,30
falcon,-0.16,-0.28,31
