#Tool,CPU,Memory,ID
jedit,-0.06,-0.08,4
jhotdraw,-0.055,-0.081,5
aoi,-0.061,-0.078,18
galleon,-0.069,-0.069,19
batik,-0.073,-0.071,20
antlr,-0.07,-0.088,2
jruby,-0.059,-0.083,14
,,,
ant ,-0.27,-0.122,3
xerces,-0.26,-0.14,11
xalan,-0.27,-0.13,17
,,,
ganttproject,-0.15,-0.15,12
jparse,-0.17,-0.12,6
javacc,-0.16,-0.13,7
nekohtml,-0.158,-0.133,21
sablecc,-0.163,-0.14,24
log4j,-0.179,-0.138,13
,,,
jmeter,-0.014,-0.15,15
findbugs,-0.05,-0.12,16
cobertura,-0.043,-0.11,22
emma,-0.03,-0.13,23
pmd,-0.02,-0.14,8
jstock,-0.038,-0.12,1
,,,
,,,
emf,-0.06,-0.08,9
columba,-0.07,-0.07,10
,,,
openstack,-0.3,-0.26,25
sentry,-0.37,-0.23,26
tensorflowmodel,-0.25,-0.17,27
rebound,-0.18,-0.14,28
tornado,-0.17,-0.13,29
kivy,-0.22,-0.14,30
falcon,-0.36,-0.05,31
