#Tool,CPU,Memory,ID
jedit,-0.11,-0.21,4
jhotdraw,-0.15,-0.23,5
aoi,-0.13,-0.24,18
galleon,-0.133,-0.21,19
batik,-0.13,-0.19,20
antlr,-0.16,-0.25,2
jruby,-0.143,-0.23,14
,,,
ant ,-0.21,-0.23,3
xerces,-0.23,-0.21,11
xalan,-0.25,-0.22,17
,,,
ganttproject,-0.1,-0.2,12
jparse,-0.14,-0.15,6
javacc,-0.13,-0.16,7
nekohtml,-0.12,-0.18,21
sablecc,-0.137,-0.17,24
log4j,-0.129,-0.16,13
,,,
jmeter,-0.17,-0.225,15
findbugs,-0.2,-0.216,16
cobertura,-0.174,-0.219,22
emma,-0.18,-0.2,23
pmd,-0.198,-0.23,8
jstock,-0.191,-0.22,1
,,,
,,,
emf,-0.31,-0.18,9
columba,-0.36,-0.19,10
,,,
openstack,-0.4,-0.34,25
sentry,-0.31,-0.18,26
tensorflowmodel,-0.36,-0.19,27
rebound,-0.25,-0.24,28
tornado,-0.22,-0.29,29
kivy,-0.16,-0.17,30
falcon,-0.33,-0.28,31
