#Tool,CPU,Memory,ID
jedit,-0.11,-0.1,4
jhotdraw,-0.14,-0.17,5
aoi,-0.12,-0.14,18
galleon,-0.143,-0.15,19
batik,-0.132,-0.13,20
antlr,-0.116,-0.11,2
jruby,-0.119,-0.12,14
,,,
ant ,-0.24,-0.33,3
xerces,-0.23,-0.31,11
xalan,-0.258,-0.32,17
,,,
ganttproject,-0.25,-0.2,12
jparse,-0.26,-0.25,6
javacc,-0.27,-0.24,7
nekohtml,-0.274,-0.266,21
sablecc,-0.266,-0.237,24
log4j,-0.259,-0.226,13
,,,
jmeter,-0.11,-0.24,15
findbugs,-0.13,-0.21,16
cobertura,-0.12,-0.2,22
emma,-0.128,-0.22,23
pmd,-0.131,-0.23,8
jstock,-0.124,-0.238,1
,,,
,,,
emf,-0.11,-0.33,9
columba,-0.13,-0.35,10
,,,
openstack,-0.35,-0.31,25
sentry,-0.26,-0.15,26
tensorflowmodel,-0.31,-0.16,27
rebound,-0.2,-0.21,28
tornado,-0.17,-0.26,29
kivy,-0.11,-0.14,30
falcon,-0.28,-0.25,31
