#Tool,CPU,Memory,ID
jedit,-0.06,-0.05,4
jhotdraw,-0.06,-0.088,5
aoi,-0.04,-0.09,18
galleon,-0.063,-0.1,19
batik,-0.052,-0.08,20
antlr,-0.036,-0.06,2
jruby,-0.039,-0.07,14
,,,
ant ,-0.07,-0.1,3
xerces,-0.08,-0.12,11
xalan,-0.09,-0.13,17
,,,
ganttproject,-0.22,-0.17,12
jparse,-0.227,-0.178,6
javacc,-0.231,-0.173,7
nekohtml,-0.241,-0.183,21
sablecc,-0.238,-0.189,24
log4j,-0.236,-0.188,13
,,,
jmeter,-0.18,-0.17,15
findbugs,-0.17,-0.16,16
cobertura,-0.16,-0.19,22
emma,-0.14,-0.16,23
pmd,-0.16,-0.17,8
jstock,-0.15,-0.183,1
,,,
,,,
emf,-0.11,-0.03,9
columba,-0.106,-0.04,10
,,,
openstack,-0.22,-0.25,25
sentry,-0.24,-0.27,26
tensorflowmodel,-0.29,-0.256,27
rebound,-0.14,-0.259,28
tornado,-0.16,-0.27,29
kivy,-0.18,-0.23,30
falcon,-0.28,-0.26,31
