#Tool,CPU,Memory,ID
jedit,-0.01,-0.03,4
jhotdraw,-0.025,-0.003,5
aoi,-0.012,-0.001,18
galleon,-0.014,-0.02,19
batik,-0.016,-0.03,20
antlr,-0.012,-0.036,2
jruby,-0.003,-0.04,14
,,,
ant ,-0.07,-0.026,3
xerces,-0.08,-0.03,11
xalan,-0.09,-0.032,17
,,,
ganttproject,-0.06,-0.09,12
jparse,-0.07,-0.08,6
javacc,-0.063,-0.1,7
nekohtml,-0.061,-0.087,21
sablecc,-0.058,-0.078,24
log4j,-0.73,-0.091,13
,,,
jmeter,-0.08,-0.12,15
findbugs,-0.09,-0.13,16
cobertura,-0.077,-0.14,22
emma,-0.067,-0.126,23
pmd,-0.081,-0.138,8
jstock,-0.09,-0.139,1
,,,
,,,
emf,-0.02,-0.06,9
columba,-0.026,-0.059,10
,,,
openstack,-0.012,-0.05,25
sentry,-0.05,-0.1,26
tensorflowmodel,-0.04,-0.12,27
rebound,-0.06,-0.14,28
tornado,-0.07,-0.15,29
kivy,-0.09,-0.16,30
falcon,-0.013,-0.12,31
